Key,en,es,ar
The site name field is required.,The site name field is required.,Se requiere el campo Nombre del sitio.,حقل اسم الموقع مطلوب.
The web version field is required.,The web version field is required.,Se requiere el campo de la versión web.,حقل إصدار الويب مطلوب.
The site title field is required.,The site title field is required.,Se requiere el campo de título del sitio.,حقل عنوان الموقع مطلوب.
The otp exp seconds field is required.,The otp exp seconds field is required.,Se requiere el campo OTP EXP segundos.,مطلوب حقل OTP Exp Seconds.
The timezone field is required.,The timezone field is required.,Se requiere el campo de la zona horaria.,مطلوب حقل المنطقة الزمنية.
Basic settings not found!,Basic settings not found!,Configuración básica no encontrada!,الإعدادات الأساسية غير موجودة!
Basic settings updated successfully!,Basic settings updated successfully!,Configuración básica actualizada con éxito!,الإعدادات الأساسية تحديث بنجاح!
You have to configure your system mail first.,You have to configure your system mail first.,Primero debe configurar el correo de su sistema.,يجب عليك تكوين بريد النظام الخاص بك أولاً.
Please setup KYC field first. Go to [Setup KYC] page from sidebar,Please setup KYC field first. Go to [Setup KYC] page from sidebar,Configure el campo KYC primero. Vaya a la página [Configurar KYC] desde la barra lateral,يرجى إعداد حقل KYC أولاً. انتقل إلى صفحة [Setup KYC] من الشريط الجانبي
Basic settings status updated successfully!,Basic settings status updated successfully!,Estado de configuración básica actualizada correctamente!,تم تحديث حالة الإعدادات الأساسية بنجاح!
Seconds,Seconds,Segundos,ثوان
Logo (Light Version),Logo (Light Version),Logotipo (versión ligera),شعار (إصدار الضوء)
Logo (Dark Version),Logo (Dark Version),Logotipo (versión oscura),شعار (نسخة مظلمة)
Favicon (Light Version),Favicon (Light Version),Favicon (versión ligera),Favicon (نسخة خفيفة)
Favicon (Dark Version),Favicon (Dark Version),Favicon (versión oscura),Favicon (نسخة مظلمة)
Search Engine Optimization (SEO),Search Engine Optimization (SEO),Optimización de motores de búsqueda (SEO),تحسين محرك البحث (SEO)
Image assets updated successfully!,Image assets updated successfully!,¡Activos de imagen actualizados con éxito!,أصول الصورة تحديث بنجاح!
Thumbnail Image,Thumbnail Image,Imagen en miniatura,صورة مصغرة
Social Title,Social Title,Título social,العنوان الاجتماعي
Social Description,Social Description,Descripción social,الوصف الاجتماعي
Tags,Tags,Etiquetas,العلامات
The title field is required.,The title field is required.,Se requiere el campo de título.,مطلوب حقل العنوان.
SEO information updated successfully!,SEO information updated successfully!,¡Información de SEO actualizada con éxito!,تم تحديث معلومات كبار المسئولين الاقتصاديين بنجاح!
Image,Image,Imagen,صورة
App Version,App Version,Version de aplicacion,نسخة التطبيق
The version field is required.,The version field is required.,Se requiere el campo de versión.,حقل الإصدار مطلوب.
Splash screen updated successfully!,Splash screen updated successfully!,¡Pantalla de salpicaduras actualizada con éxito!,تم تحديث شاشة دفقة بنجاح!
Sub Title,Sub Title,Subtítulo,العنوان الفرعي
Add New Screen,Add New Screen,Agregar nueva pantalla,أضف شاشة جديدة
Edit Screen,Edit Screen,Pantalla de edición,تحرير الشاشة
Onboard Screen Added Successfully!,Onboard Screen Added Successfully!,¡Pantalla a bordo agregada con éxito!,أضيفت الشاشة على متن الطائرة بنجاح!
Onboard screen status updated successfully!,Onboard screen status updated successfully!,Estado de la pantalla a bordo actualizado correctamente!,تم تحديث حالة الشاشة على متن الطائرة بنجاح!
Onboard screen information updated successfully!,Onboard screen information updated successfully!,Información de pantalla a bordo actualizada correctamente!,تم تحديث معلومات الشاشة على متن الطائرة بنجاح!
Screen deleted successfully!,Screen deleted successfully!,¡Pantalla eliminada con éxito!,تم حذف الشاشة بنجاح!
delete,delete,borrar,يمسح
this screen?,this screen?,esta pantalla?,هذه الشاشة؟
Language Manager,Language Manager,Administrador de idiomas,مدير اللغة
Code,Code,Código,شفرة
Selectable,Selectable,Seleccionable,يمكن اختياره
Are you sure to delete this language?,Are you sure to delete this language?,¿Estás seguro de eliminar este idioma?,هل أنت متأكد من حذف هذه اللغة؟
Add Language,Add Language,Agregar lenguaje,إضافة لغة
Language Name,Language Name,Nombre del lenguaje,اسم اللغة
Language Code,Language Code,Código de lenguaje,رمز اللغة
LTR,LTR,LTR,لتر
RTL,RTL,RTL,من اليمين إلى اليسار
Select Language,Select Language,Seleccione el idioma,اختار اللغة
"Language File (.xlsx, .csv)","Language File (.xlsx, .csv)","Archivo de idioma (.xlsx, .csv)",ملف اللغة (.xlsx ، .csv)
The code field is required.,The code field is required.,Se requiere el campo de código.,حقل الكود مطلوب.
The dir field is required.,The dir field is required.,Se requiere el campo Dir.,حقل دير مطلوب.
Language created successfully!,Language created successfully!,¡Lenguaje creado con éxito!,اللغة التي تم إنشاؤها بنجاح!
Language updated successfully!,Language updated successfully!,¡Lenguaje actualizado con éxito!,تم تحديث اللغة بنجاح!
Language deleted successfully!,Language deleted successfully!,Lenguaje eliminado con éxito!,تم حذف اللغة بنجاح!
Language status updated successfully!,Language status updated successfully!,Estado del idioma actualizado con éxito!,تم تحديث حالة اللغة بنجاح!
Language Information,Language Information,Información del idioma,معلومات اللغة
Language Keywords of English,Language Keywords of English,Palabras clave del idioma del inglés,الكلمات الرئيسية للغة للغة الإنجليزية
Edit Language,Edit Language,Editar lenguaje,تحرير اللغة
Import,Import,Importar,يستورد
Download,Download,Descargar,تحميل
Name,Name,Nombre,اسم
Email Send Method,Email Send Method,Método de envío de correo electrónico,طريقة إرسال البريد الإلكتروني
Select Method,Select Method,Método de selección,حدد الطريقة
SMTP,SMTP,Smtp,SMTP
Send Mail,Send Mail,Enviar correo,ارسل بريد
Host,Host,Anfitrión,يستضيف
Port,Port,Puerto,ميناء
Encryption,Encryption,Encriptación,التشفير
SSL,SSL,Ssl,SSL
TLS,TLS,TLS,TLS
Mail From Address,Mail From Address,Correo desde la dirección,البريد من العنوان
"Language switch successfully!","Language switch successfully!","¡Cambio de idioma con éxito!","تبديل اللغة بنجاح!"
Send Test Mail,Send Test Mail,Enviar correo de prueba,إرسال بريد الاختبار
The method field is required.,The method field is required.,Se requiere el campo de método.,حقل الطريقة مطلوب.
The host field is required.,The host field is required.,Se requiere el campo de host.,حقل المضيف مطلوب.
The port field is required.,The port field is required.,Se requiere el campo portuario.,حقل المنفذ مطلوب.
The encryption field is required.,The encryption field is required.,Se requiere el campo de cifrado.,حقل التشفير مطلوب.
Information updated successfully!,Information updated successfully!,Información actualizada con éxito!,تم تحديث المعلومات بنجاح!
Deactive,Deactive,Desactivo,إلهي
KYC Data Form,KYC Data Form,Formulario de datos de KYC,نموذج بيانات KYC
Field Name,Field Name,Nombre del campo,اسم الحقل
Field Types,Field Types,Tipos de campo,أنواع الحقل
Max File Size (mb),Max File Size (mb),Tamaño de archivo máximo (MB),حجم الملف الأقصى (MB)
File Extension,File Extension,Extensión de archivo,امتداد الملف
ex: 10,ex: 10,Ej: 10,على سبيل المثال: 10
"ex: jpg, png, pdf","ex: jpg, png, pdf","Ej: JPG, PNG, PDF",على سبيل المثال: JPG ، PNG ، PDF
Options,Options,Opción,خيارات
Min Character,Min Character,Carácter mínimo,شخصية دقيقة
Max Character,Max Character,Personaje máximo,الحد الأقصى للشخصية
Field Necessity,Field Necessity,Necesidad de campo,ضرورة الحقل
ex: 6,ex: 6,Ej: 6,على سبيل المثال: 6
ex:16,ex:16,Ej: 16,على سبيل المثال: 16
Required,Required,Requerido,مطلوب
Page Name,Page Name,Nombre de la página,اسم الصفحة
Disable,Disable,Desactivar,إبطال
KYC status updated successfully!,KYC status updated successfully!,Estado de KYC actualizado con éxito!,تم تحديث حالة KYC بنجاح!
Setup Page status updated successfully!,Setup Page status updated successfully!,Estado de la página de configuración actualizado correctamente!,تم تحديث حالة صفحة الإعداد بنجاح!
Update Extension,Update Extension,Extensión de actualización,تمديد تحديث
Instructions,Instructions,Instrucciones,تعليمات
Extension has been udpate successfully,Extension has been udpate successfully,La extensión ha sido UDPate con éxito,لقد كان التمديد udpate بنجاح
Extension status is updated successfully!,Extension status is updated successfully!,¡El estado de extensión se actualiza con éxito!,يتم تحديث حالة التمديد بنجاح!
Extension is not found!,Extension is not found!,¡No se encuentra la extensión!,لم يتم العثور على التمديد!
Slug,Slug,Babosa,سبيكة
Add Link,Add Link,Añadir enlace,إضافة رابط
Content,Content,Contenido,محتوى
Use for make page link (URL),Use for make page link (URL),Usar para hacer el enlace de página (URL),استخدم لجعل رابط الصفحة (URL)
Are you sure to delete this link?,Are you sure to delete this link?,¿Seguro que eliminará este enlace?,هل أنت متأكد من حذف هذا الرابط؟
Useful link added successfully!,Useful link added successfully!,Enlace útil agregado con éxito!,رابط مفيد أضيفت بنجاح!
Useful link updated successfully!,Useful link updated successfully!,Enlace útil actualizado con éxito!,رابط مفيد تم تحديثه بنجاح!
Useful link deleted successfully!,Useful link deleted successfully!,Enlace útil eliminado con éxito!,رابط مفيد تم حذفه بنجاح!
Useful link status updated successfully!,Useful link status updated successfully!,Estado útil del enlace actualizado correctamente!,تم تحديث حالة الرابط المفيدة بنجاح!
Browser Push Notification Configuration,Browser Push Notification Configuration,Configuración de notificación de push del navegador,تكوين إشعار دفع المتصفح
Instance ID,Instance ID,ID de instancia,معرف مثيل
Primary key,Primary key,Clave primaria,المفتاح الأساسي
Broadcasting/ Internal Notification Configuration,Broadcasting/ Internal Notification Configuration,Configuración de transmisión/ notificación interna,تكوين الإذاعة/ الإخطار الداخلي
Method,Method,Método,طريقة
APP ID,APP ID,ID de aplicación,معرف التطبيق
Secret key,Secret key,Llave secreta,المفتاح السري
Cluster,Cluster,Grupo,تَجَمَّع
Notification Body,Notification Body,Cuerpo de notificación,هيئة الإخطار
Latest Notifications,Latest Notifications,Últimas notificaciones,أحدث الإخطارات
Body,Body,Cuerpo,جسم
Time,Time,Tiempo,وقت
Sorry! You have to configure first to send push notification.,Sorry! You have to configure first to send push notification.,¡Lo siento! Debe configurar primero para enviar una notificación push.,آسف! يجب عليك تكوين أولاً لإرسال إشعار الدفع.
Please configure your push notification with valid credentials.,Please configure your push notification with valid credentials.,Configure su notificación push con credenciales válidas.,يرجى تكوين إشعار الدفع الخاص بك مع بيانات اعتماد صالحة.
Oops! Failed to store information.,Oops! Failed to store information.,¡Ups! No pudo almacenar información.,أُووبس! فشل في تخزين المعلومات.
Notification sended successfully!,Notification sended successfully!,¡Notificación enviada con éxito!,أرسل الإخطار بنجاح!
The instance id field is required.,The instance id field is required.,Se requiere el campo de identificación de instancia.,حقل معرف المثيل مطلوب.
The primary key field is required.,The primary key field is required.,Se requiere el campo clave principal.,حقل المفتاح الأساسي مطلوب.
Policy Link,Policy Link,Enlace de política,رابط السياسة
The status field is required.,The status field is required.,Se requiere el campo de estado.,حقل الحالة مطلوب.
The link field is required.,The link field is required.,Se requiere el campo de enlace.,حقل الارتباط مطلوب.
The desc field is required.,The desc field is required.,Se requiere el campo DESC.,حقل DESC مطلوب.
Cookie information updated successfully!,Cookie information updated successfully!,¡Información de cookies actualizada con éxito!,تم تحديث معلومات ملفات تعريف الارتباط بنجاح!
Server Information,Server Information,información del servidor,معلومات الخادم
App Name,App Name,Nombre de la aplicación,اسم التطبيق
App Environment,App Environment,Entorno de aplicaciones,بيئة التطبيق
App Debug,App Debug,Depurar la aplicación,تصحيح التطبيق
App Mode,App Mode,Modo de aplicación,وضع التطبيق
Database Connection,Database Connection,Conexión de base de datos,اتصال قاعدة البيانات
Database Host,Database Host,Host de base de datos,مضيف قاعدة البيانات
Database Port,Database Port,Puerto de base de datos,منفذ قاعدة البيانات
Database Name,Database Name,Nombre de la base de datos,اسم قاعدة البيانات
Database Username,Database Username,Nombre de usuario de la base de datos,قاعدة بيانات قاعدة البيانات
PHP Version,PHP Version,Versión php,إصدار PHP
Laravel Version,Laravel Version,Versión de Laravel,نسخة لارافيل
Server Software,Server Software,Software de servidor,برنامج الخادم
Server IP Address,Server IP Address,Dirección IP del servidor,عنوان IP الخادم
Server Protocol,Server Protocol,Protocolo de servidor,بروتوكول الخادم
"Cache Clear Successfully!","Cache Clear Successfully!","¡Cache, claro con éxito!","ذاكرة التخزين المؤقت واضح بنجاح!"
Edit Useful Link,Edit Useful Link,Editar enlace útil,تحرير رابط مفيد
Contact Messages,Contact Messages,Mensajes de contacto,اتصل بالرسائل
Reply,Reply,Responder,رد
Created At,Created At,Creado en,أنشئت في
Replyed,Replyed,Respondido,رد
Not Replyed,Not Replyed,No respondido,لم ترد
Send Reply,Send Reply,Enviar respuesta,إرسال الرد
Write Subject,Write Subject,Escribir sujeto,اكتب الموضوع
Reply sended successfully!,Reply sended successfully!,¡Respuesta enviada con éxito!,رد أرسل بنجاح!
Website Subscribers,Website Subscribers,Suscriptores del sitio web,مشتركي الموقع
Subscribers,Subscribers,Suscriptores,مشتركين
Send Mail to All,Send Mail to All,Enviar correo a todos,أرسل البريد إلى الجميع
Send mail to all subscribers,Send mail to all subscribers,Enviar correo a todos los suscriptores,أرسل بريدًا إلى جميع المشتركين
Mail send failed! Please try again,Mail send failed! Please try again,Envíe el correo fallido! Inténtalo de nuevo,فشل إرسال البريد! حاول مرة اخرى
Setup Currency,Setup Currency,Moneda de configuración,الإعداد العملة
There is no default currency in your system.,There is no default currency in your system.,No hay moneda predeterminada en su sistema.,لا توجد عملة افتراضية في نظامك.
Add Currency,Add Currency,Agregar moneda,أضف العملة
Symbol,Symbol,Símbolo,رمز
Rate,Rate,Tasa,معدل
Sender,Sender,Remitente,مرسل
Receiver,Receiver,Receptor,المتلقي
currency?,currency?,¿divisa?,عملة؟
Country Flag,Country Flag,Bandera del país,علم الدولة
FIAT,FIAT,FÍAT,فيات
CRYPTO,CRYPTO,Cripto,تشفير
Both,Both,Ambos,كلاهما
Edit Currency,Edit Currency,Editar moneda,تحرير العملة
The type field is required.,The type field is required.,Se requiere el campo Tipo.,حقل النوع مطلوب.
The country field is required.,The country field is required.,Se requiere el campo del país.,حقل البلد مطلوب.
The symbol field is required.,The symbol field is required.,Se requiere el campo de símbolos.,حقل الرمز مطلوب.
The option field is required.,The option field is required.,Se requiere el campo de opción.,حقل الخيار مطلوب.
The rate field is required.,The rate field is required.,Se requiere el campo de tarifa.,حقل السعر مطلوب.
Default currency make faild! Please try again.,Default currency make faild! Please try again.,¡La moneda predeterminada hace que Faild! Inténtalo de nuevo.,العملة الافتراضية تجعل الفشل! حاول مرة اخرى.
Currency Saved Successfully!,Currency Saved Successfully!,¡Moneda ahorrada con éxito!,العملة المحفوظة بنجاح!
Currency status updated successfully!,Currency status updated successfully!,¡Estado de divisas actualizado con éxito!,تم تحديث حالة العملة بنجاح!
The currency type is required.,The currency type is required.,Se requiere el tipo de moneda.,نوع العملة مطلوب.
The currency country field is required.,The currency country field is required.,Se requiere el campo del país monetario.,حقل بلد العملة مطلوب.
The currency name field is required.,The currency name field is required.,Se requiere el campo Nombre de la moneda.,حقل اسم العملة مطلوب.
The currency code field is required.,The currency code field is required.,Se requiere el campo de código de divisas.,حقل رمز العملة مطلوب.
The currency symbol field is required.,The currency symbol field is required.,Se requiere el campo de símbolo de divisas.,مطلوب حقل رمز العملة.
The currency rate field is required.,The currency rate field is required.,Se requiere el campo de tasa de divisas.,حقل معدل العملة مطلوب.
The currency option field is required.,The currency option field is required.,Se requiere el campo de opción de división.,حقل خيار العملة مطلوب.
The currency target field is required.,The currency target field is required.,Se requiere el campo objetivo de moneda.,مطلوب الحقل المستهدف للعملة.
The currency role field is required.,The currency role field is required.,Se requiere el campo de rol de moneda.,حقل دور العملة مطلوب.
Currency not found!,Currency not found!,Moneda no encontrada!,العملة لم يتم العثور عليها!
Image file upload faild!,Image file upload faild!,Archivo de imagen Carga Faild!,ملف الصورة تحميل فشل!
Successfully updated the information.,Successfully updated the information.,Actualizó con éxito la información.,تم تحديث المعلومات بنجاح.
Can\'t deletable default currency.,Can\'t deletable default currency.,Puede \ 't de la moneda predeterminada eliminable.,لا يمكن \ 'الحذف العملة الافتراضية.
Currency deleted successfully!,Currency deleted successfully!,¡Moneda eliminada con éxito!,تم حذف العملة بنجاح!
Option,Option,Opción,خيار
Fees & Charges,Fees & Charges,Tarifas y cargos,الرسوم والرسوم
Support,Support,Apoyo,يدعم
Please deselect your default language first.,Please deselect your default language first.,"Por favor, anule la selección de su idioma predeterminado.",يرجى إلغاء تحديد لغتك الافتراضية أولاً.
